# id|section|title|yaw|pitch|dist_scale|target_offset_x|target_offset_y|target_offset_z|fov|notes|render_flags|layout
cover_hero|Exterior|Cover Hero — Coop + Run Ensemble|34.4|10.3|1.00|0.00|0.00|0.00|34|Primary editorial hero composition with clear massing and site context.|cam_pos:4.4:1.15:2.7,cam_look:1.1:0.35:-0.2|hero
hero_reverse|Exterior|Reverse Hero Perspective|0.0|9.2|1.00|0.00|0.00|0.00|34|Counter-view validating backside composition and run attachment.|cam_pos:-1.7:1.05:-2.8,cam_look:1.0:0.35:-0.5|
front_elevation|Exterior|Front Elevation Composition|0.0|2.9|1.00|0.00|0.00|0.00|29|Calm front elevation showing door, nest access, tunnel and run alignment.|cam_pos:0.44:0.72:2.5,cam_look:0.45:0.38:-0.18|full
run_gateway|Exterior|Run Gateway + Terrace Relationship|63.0|5.7|1.00|0.00|0.00|0.00|33|Entry sequence at run gate with lounge area relationship.|cam_pos:1.8:0.95:2.1,cam_look:1.7:0.32:0.55|
tunnel_feed_context|Functional Details|Tunnel + Feeding Station Context|11.5|4.6|1.00|0.00|0.00|0.00|35|Operational context of tunnel transition and feeding shelf from outside service side.|cam_pos:2.4:0.58:0.45,cam_look:1.18:0.14:-0.07|full
tunnel_feed_close|Functional Details|Feeding Station Service Close-Up|11.5|5.7|1.00|0.00|0.00|0.00|38|Readable close-up of feeder and waterer for refill/cleaning workflow.|cam_pos:1.62:0.42:0.15,cam_look:1.19:0.15:-0.08|detail
tunnel_hatch_detail|Functional Details|Tunnel Hatch + Threshold Detail|17.2|6.9|1.00|0.00|0.00|0.00|37|Threshold geometry between coop and tunnel opening with access frame clarity.|cam_pos:1.58:0.52:0.18,cam_look:1.09:0.20:0.27|detail
nest_access_detail|Functional Details|Exterior Nest Access Doors|14.3|4.6|1.55|0.00|0.00|0.00|36|Exterior egg-collection doors and service zone on coop envelope.|focus_object:nest_doors|detail
nest_handle_macro|Functional Details|Nest Door Handle + Trim Macro|20.1|5.7|1.20|0.00|0.00|0.00|38|Hardware macro of nest access pull handles and trim reveal.|focus_object:nest_door_handles|detail
human_door_hardware|Functional Details|Human Door Hardware Detail|22.9|2.9|1.30|0.00|0.00|0.00|37|Primary human door handle/latch detail for daily operation reliability.|focus_object:human_door_hardware|detail
tunnel_access_hardware|Functional Details|Tunnel Access Door Hardware|34.4|2.9|1.40|0.00|0.00|0.00|37|Handle and door hardware at tunnel service hatch.|focus_object:tunnel_access_door_hardware|detail
run_gate_detail|Functional Details|Run Gate Hardware + Frame Detail|57.3|4.6|1.00|0.00|0.00|0.00|37|Run gate hinge/latch zone with frame member thickness and swing legibility.|cam_pos:1.65:0.55:0.95,cam_look:1.36:0.28:0.48|detail
lounge_set_detail|Functional Details|Garden Lounge Set Detail|143.2|5.7|1.00|0.00|0.00|0.00|34|Outdoor lounge furniture and shelter edge composition in L-extension.|cam_pos:2.85:0.52:1.55,cam_look:2.16:0.11:0.98|detail
coop_interior_threshold|Interior|Coop Interior from Door Threshold|40.1|12.6|1.90|0.00|0.00|0.00|42|Inside-facing view from threshold toward roost/nest zone with readable interior volumes.|focus_object:lower_roost,hide_object:front_cladding_boards,hide_object:front_cladding_backing,hide_object:front_cladding_trim|full
perch_chicken_detail|Interior|Perch Hierarchy + Perched Chickens|44.7|13.8|1.10|0.00|0.00|0.00|39|Interior behavioral view of perch levels with birds occupying roost positions.|focus_object:lower_roost,hide_object:front_cladding_boards,hide_object:front_cladding_backing,hide_object:front_cladding_trim|detail
coop_interior_cutaway|Interior|Coop Interior Technical Cutaway|37.8|11.5|2.10|0.00|0.00|0.00|41|Cutaway of coop shell to communicate enclosure + interior arrangement.|focus_object:lower_roost,interior_cutaway|full
run_interior_read|Interior|Run Interior Enrichment Readability|-140.4|10.3|1.70|0.00|0.00|0.00|38|Interior run view centered on chicken gym and circulation clearances.|focus_object:chicken_gym,hide_object:run_mesh_walls|detail
roof_mesh_junction|Details|Roof-to-Mesh Junction Detail|51.6|5.2|1.00|0.00|0.00|0.00|35|Construction joint detail between run roof members and mesh enclosure seam.|cam_pos:2.35:1.08:0.56,cam_look:1.87:0.62:-0.06|detail
